,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
233795,147707,1.84729838047284,-0.475619162681113,0.0454905543792427,1.21621415838351,-0.755188566019353,0.245981756851242,-0.906294460704927,0.280390921976065,1.11327811173538,0.327906581306254,0.19339275588932,0.445755062796578,-0.758943618345114,0.113188847820994,0.0953793950314143,0.94499453511672,-1.12339437028446,1.04765228472224,-0.262770383135076,-0.216329485232554,0.114781811016484,0.358286131346195,0.189306639068201,-0.470655735698826,-0.355309786763751,-0.727484459352181,0.0647647550427477,-0.0299346510950835,38,0
130977,79472,1.18888149404572,-0.465556978820541,0.996026446697392,-0.783631709151461,-1.3397042279849,-0.640296376343241,-0.738391412477971,0.157094118113137,1.6977327336554,-0.882183092231258,1.27338703575386,0.970213361781899,-1.15183141743681,0.257145760409727,0.665490660741618,-0.258974327498719,-0.26502874485303,0.738211563046848,0.775510324791805,-0.184722626894446,0.0413487411275516,0.283125116760121,-0.011070188168453,0.532469446537207,0.409414470365852,-0.713336147129025,0.0836218431088898,0.0250536793980264,1,0
103154,68525,1.20934217901779,0.122040065853187,0.371504784421399,0.442355365044125,-0.297336721242184,-0.477491075074269,-0.042549892309064,-0.0280809993841663,-0.158239783497576,0.102978413811206,1.14547414974382,0.824075748437395,0.0570248524261027,0.466279941893917,0.383492316621958,0.609386699316478,-0.780829958753164,0.0936855045665991,0.292415441276278,-0.0534452592866057,-0.220499763610416,-0.720980654864225,0.0714402988002013,-0.0131569651595338,0.217869195454756,0.0968302280138869,-0.0379047841452449,0.0077833553500133,17.99,0
258940,158887,-1.44751767399951,-2.75687422690986,-0.701874301256138,-1.35893930099242,-2.28903947888498,1.84866523144612,2.33067364436847,-0.833774789131423,0.489979814265932,-1.67100864917264,0.11419865536268,-0.0007072377840226,-0.59889075204052,0.436371131764358,0.528955558025325,0.958961486716061,-1.06474397574329,1.23485878840041,-0.0084307864849043,1.8643790970987,1.46887879427922,-0.100668771937679,1.1864716099472,-0.143534648165049,1.11593560990729,0.779207871897303,-0.212735155001082,0.281832839111558,980.1,0
51122,44805,-1.07202772415692,0.0309075077690143,1.55355687740735,-1.73265719627295,0.469508640169626,-0.816386146749763,0.568979166884806,-0.0908594497645924,-1.75713077824762,-0.0401185507540218,2.20242136667172,-0.0395819979851547,0.135679491604005,-1.14522336934683,-0.326554647084627,1.24399136847119,0.819474195784988,-1.48974767711895,-0.0187080430415042,0.534074638138219,-0.228305176914328,-0.813909780175618,0.103919657309041,0.0795188863991615,0.17295925475999,-0.737814768219219,0.0818194327599337,-0.0790586649003722,60,0
3980,3630,-0.884234601901532,0.993348068601453,1.90104030783635,-0.194556888964041,0.330834693874596,-0.254229724727832,0.839261729037578,-0.173872132998956,1.0854888882074,-1.26142551133947,-0.279641192155861,-2.27780717588778,2.05420377685796,1.0520176003989,-1.51688225894913,-0.0550241696925641,0.340379381431721,-0.245965201873574,-0.257597207592418,-0.119187594466325,-0.346363328680921,-0.675996421573887,-0.303633687480695,-0.140837873871729,0.519797712940168,0.169280079164773,-0.153101176461583,0.0398096363399451,30.36,0
200824,133597,-9.24020521458154,-7.35042474600182,-0.526765397251819,-0.795210149589853,3.17460025248685,-1.59799730251787,3.17315030720458,-3.71487368569885,1.87501753906177,4.58942256067817,1.91947130873087,-1.71575613473011,-0.507573116749815,-2.94083518522306,0.272600295171252,1.31646353792597,-1.73364485813732,-1.77996883829295,1.78266844186927,-7.23919482202358,-2.68929856658735,1.8564792192458,2.20826598809059,-0.0966947668620015,2.07819029336424,-0.0431565910993104,-2.13482972391661,-0.916931222516398,125.54,0
97199,66112,-0.358395708029599,1.19561591596153,1.44569673308147,0.130732630259914,-0.0754546033646794,-1.15335987360538,0.763608231046207,-0.131198869257671,-0.515651082406558,-0.530727073280314,0.190900705234471,0.372954837740683,0.708367822856989,-0.539020947099709,0.798605309220091,0.256882411072832,0.0900144309398554,-0.325149376743733,-0.218221807711962,0.141243667919316,-0.23586634543218,-0.575663096122573,0.0144326488726383,0.678265955836425,-0.182835166874271,0.0495160526405081,0.250833757966272,0.102814726774022,2.28,0
245957,152981,2.14524891963005,-0.757318370822557,-1.19937538287657,-0.864127121896866,-0.594257090267664,-1.0912720717868,-0.349788092478341,-0.270605857752739,-0.465462926148642,0.792117512933556,-0.311420729131066,-0.59281203328331,-0.352764551160884,0.10329984891044,0.184937604109786,0.768550844574569,0.433260821011086,-1.95170605375829,0.550718490488864,-0.0149295443884503,-0.0271036686955089,-0.210155893709587,0.369813335251297,1.05697994720691,-0.277539736769245,-0.480657773516133,-0.0421940025587546,-0.043384311147211,34.93,0
132149,79875,1.2373353133602,0.700652822822674,-0.352052531367023,1.35483734736489,0.0537346099233937,-1.25262459813397,0.28881887489636,-0.226006780438916,-0.0389481839934413,-0.671483095402601,0.0661634794900709,-0.298211612273467,-0.40311474501546,-1.26783607719317,1.1270757595416,0.612358919110565,0.914171247936377,0.634554132585911,-0.623271681836431,-0.120041740131553,-0.0716603457937399,-0.150091257136883,-0.119422528366451,0.242735597625665,0.679463776605621,-0.32625689012757,0.0330025021107066,0.0567663229691992,1,0
215166,139962,2.10169377348748,-1.68277058645496,-1.03880420703443,-1.37647061842647,-1.50876454928333,-1.04819117312011,-0.885692885082018,-0.302204642487335,-1.1459930136506,1.55247040555877,-1.16175543305487,-1.13676210338412,-0.219181731440503,-0.239413702760748,-0.13584597451323,-0.571287231600052,0.544422997883744,-0.0367661893610386,-0.139244267267886,-0.273900497256056,-0.116707193630243,-0.0724568931111836,0.137597373369098,-0.0532018502023563,-0.220146837762523,-0.168081201200653,-0.0151212676631679,-0.0350829208147839,119.7,0
208228,137026,-0.176830237217421,0.430044297212266,-1.50171278957202,-1.51819072227124,2.6389405440591,3.86954600322268,-1.02249183727949,-1.82797330433671,-0.483340001086461,-1.23063152986875,-0.112659666265862,0.278565969430758,-0.516944004191415,1.14170879010113,0.909164971382813,-0.0014363381321361,-0.54727468692373,-0.0773186489837464,-0.854642729668192,0.691012462156065,-0.990584457322476,0.924097555768173,-0.496006489109526,0.742315411421409,1.27915339556879,0.0063267114098732,0.0711644433278381,0.238765197143017,69.9,0
